"","x"
"29","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"30","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"31","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"32","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"33","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"34","RT @_sara_R5: @rikerR5 @LATAMAirlines “OH SHIT. MY BASS’S GONE.”"
"35","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"36","@rikerR5 @LATAMAirlines Omg I am going to cry, I hope you find them soon"
"37","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"38","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"39","@rikerR5 @officialR5 @LATAMAirlines Ahora que wea vas a tocar????"
"40","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"41","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"42","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"43","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"44","@Vivi_Navarrete_ @rikerR5 @officialR5 @LATAMAirlines Siii <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"45","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"46",".  @LATAMAirlines Hola. Algunos  bajos de guitarras de Riker Lynch @rikerR5 están faltando en el vuelo de ayer, des… https://t.co/Jf8wLz0l75"
"47","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"48","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
"49","RT @BERNARDOSANABRI: Quiero prevenirlos de este robo que les hace a los viajeros la empresa @LATAMAirlines no te dicen que el equipaje no v…"
"50","RT @rikerR5: Hey @LATAMAirlines any chance you found my bass guitars on the flight from Santiago to Lima yesterday? Kind of have a show to…"
